"ACO Name (LBN or DBA, if applicable) ",States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model ,Total Assigned Beneficiaries,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Comp-osite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Comp-osite,ACO-32,ACO-33
Maryland Accountable Care Organization of Western MD LLC,"Maryland, Pennsylvania, West Virginia",07/01/2012,Track1 ,Yes ,6041,$75122643,$73797046,$1325597,1.8%,,,Yes,80.62,93.51,93.04,84.77,55.93,74.99,70.31,14.32,0.99,1.01,85.71,100,68.48,72,58.38,58.63,88.78,58.84,68.65,77.69,99.83,10.47,73.82,61.08,66.32,36.13,75.14,12.57,68.7,63.86,79.82,91.8,63.29,69.02,75.48
"Maryland Collaborative Care, LLC.","District of Columbia, Maryland",01/01/2013,Track1 ,No ,15465,$164325485,$162315785,$2009700,1.2%,,,Yes,80.33,91.53,90.34,84.33,56.25,70.35,71.97,14.78,1.3,1.41,50.63,58.42,25,37.28,33.04,57.44,74.29,14.97,51.48,46.13,88.93,0.84,63.48,38.76,64.61,5.34,76,29.21,62.39,35.28,62.1,81.82,46.7,53.58,64.33
"MCM Accountable Care Organization, LLC",Florida,01/01/2013,Track1 ,No ,7597,$118672601,$121217933,$-2545332,-2.1%,,,Yes,80.39,90.36,89.35,85.69,57.74,69.97,70.75,15.99,2,1.69,74.07,97.74,74.67,60.68,26.9,91.2,97.02,62.25,69.72,65.55,96.87,28.62,71.2,53.8,71.74,87.14,87.56,22.1,70.67,59.3,82.56,74.02,71.37,84.09,70.59
Medical Mall ACO,"Mississippi, Alabama",07/01/2012,Track1 ,Yes ,5925,$100274771,$85149212,$15125560,15.1%,$15125560,$0,No*,73.8,90.05,89.78,82.39,54.74,67.78,66.85,15.48,2.55,1.88,100,100,34.59,55.43,25.87,64.85,94.67,52.86,63.91,76.12,97.93,3.41,44.28,31.14,42.09,10.71,79.55,44.53,56.76,34,58,95.65,55.56,50,80.65
"Medical Practitioners For Affordable Care, LLC",Florida,07/01/2012,Track1 ,No ,17974,$259341506,$260712844,$-1371338,-0.5%,,,Yes,81.76,91.83,90.63,87.34,60.31,77.28,70.49,16.46,1.13,1.24,70.91,100,40.33,50.9,45.02,87.71,88.52,54.93,53.74,69.79,99.44,21.49,63.19,44.04,72.55,75.74,76.64,29.15,71.19,45.59,84.95,76.14,66.39,81.3,61.9
Medicare Value Partners,Illinois,01/01/2013,Track1 ,No ,21138,$241668753,$241093844,$574909,0.2%,,,Yes,84.45,93.64,93.27,86.02,58.14,75.62,72.14,14.94,1.31,1.16,76.98,94.62,48.47,61.39,57.55,75.13,95.99,46.73,66.39,88.69,95.74,22.47,67.6,49.25,70.22,84.46,69.38,24.16,68.64,52.5,84.17,78.61,53.56,66.22,53.85
Memorial Hermann Accountable Care Organization,Texas,07/01/2012,Track1 ,No ,34430,$502206316,$444372224,$57834092,11.5%,$57834092,$28338705,Yes,77.82,93.22,92,85.6,56.22,73.35,70.79,14.41,1.05,1.04,77,98.51,31.24,53.27,43.95,82.82,93.08,32.62,55.52,61.39,91.33,25.32,72.51,56.42,70.71,77.76,86.9,18.99,66.56,50.2,76.48,88.89,65.15,76.73,70.24
"Mercy ACO, LLC",Iowa,07/01/2012,Track1 ,No ,27662,$280991405,$271958076,$9033330,3.2%,$9033330,$4426331,Yes,80.19,92.07,91.11,84.26,51,74.54,72.09,14.44,1.25,1.15,75.63,74.55,46.88,66.11,63.68,58.71,84.29,14.53,55.47,65.29,92.13,31.63,83.45,63.99,75.91,80.78,80.99,7.3,71.94,63.35,94.42,83.69,69.25,78.88,73.74
"Mercy ACO, LLC","Missouri, Arkansas",01/01/2013,Track1 ,No ,36867,$285420336,$288067201,$-2646865,-0.9%,,,Yes,85.02,94.47,93.5,86.81,55.03,78.78,68.48,14.91,0.94,1.05,86.18,99.08,81.31,79.74,92.04,77.14,98.82,47.02,75.71,66.51,38.69,28.97,76.19,61.9,67.46,84.13,96.03,14.29,65.09,65.38,88.86,96.77,80.54,82.94,87.84
"Mercy Health Select, LLC","Ohio, Indiana",07/01/2012,Track1 ,No ,29820,$315655127,$329267992,$-13612865,-4.3%,,,Yes,85.91,92.84,91.62,87.46,57.56,76.28,70.73,14.09,0.97,1.31,71.07,91.08,22.54,61.87,79.15,64.05,97.96,12.78,72.77,57.07,33.5,32.75,72.67,60.74,73.75,87.64,86.84,18,72.13,68.05,87.02,77.95,69.81,79.78,72.58
Mercy-CR/UI Health Care Accountable Care Organization,Iowa,07/01/2012,Track1 ,No ,20262,$214048604,$213649486,$399118,0.2%,,,Yes,81.68,94.28,93.3,84.74,58.8,76.16,72.04,14.62,1.09,1.24,82.66,48.4,64.1,58.52,79.18,60.82,89.2,2.08,56.83,76.2,41.71,25.87,78.3,54.34,74.31,76.74,94.35,12.15,75.43,63.02,86.34,93.6,55.12,65.98,62.6
"Meridian Accountable Care Organization, LLC",New Jersey,01/01/2013,Track1 ,No ,40133,$431396677,$416506358,$14890318,3.5%,$14890318,$7296256,Yes,83.69,94.84,92.8,85.46,59.4,76.84,70.43,13.73,1.06,1.17,63.12,5.29,8.14,45.55,42.08,52.32,86.59,7.39,57.28,50.66,33.41,28.09,76.68,60.25,72.08,78.8,82.61,13.78,69.21,64.8,78.91,74.58,67.39,77.24,72.49
Meridian Health Systems ACO Corporation,"North Carolina, Georgia, Florida, South Carolina, District of Columbia, California, Maryland, Texas",07/01/2012,Track1 ,No ,7516,$122411796,$136587951,$-14176155,-11.6%,,,No*,75.4,86.02,82.95,84.7,48.98,67,68.43,16.4,1.68,1.38,45.83,99.55,58.08,43.82,21.45,73.25,81.42,42.76,46.11,57.29,95.21,7.2,39.77,29.55,51.33,58.52,74.44,49.24,49.48,28.99,73.94,83.84,54,67.78,58.94
"Meritage ACO, LLC",California,01/01/2013,Track1 ,No ,17099,$155156361,$157794190,$-2637829,-1.7%,,,Yes,83.9,94.06,91.85,84.69,56.72,75.19,71.77,14.02,0.5,0.91,69.09,100,43.94,48.97,58.3,63.18,90.56,15.68,68.54,68.97,56.57,3.16,75.32,61.39,69.41,11.6,79.55,17.93,67.97,67.63,82.14,89.87,79.2,82.3,80
Methodist Patient Centered ACO,Texas,07/01/2012,Track1 ,No ,15013,$214790906,$202073625,$12717281,5.9%,$12717281,$6231468,Yes,79.53,92.83,91.3,86.83,62.2,72.45,70.65,14.7,1.43,1.21,68.6,11.99,31.1,68.81,77.05,68.13,85.25,51.7,61.22,63.84,52.15,31.25,72.84,58.41,74.28,85.34,83.21,16.11,73.27,61.21,86.1,89.74,75.38,80.09,86.94
Millennium Accountable Care Organization,Florida,01/01/2013,Track1 ,No ,28957,$280813991,$273058705,$7755286,2.8%,$7755286,$3800090,Yes,75.46,92.53,91.66,84.4,58.67,75.46,69.97,14.23,0.96,1.24,91.14,100,53.68,66.13,46.25,90.26,95.7,87.4,64.4,68.39,99.34,37.83,83.48,60.65,72.83,89.13,100,10.65,92.31,67.93,94.69,97.32,85.64,92.86,79.84
MissionPoint Health Partners,Tennessee,07/01/2012,Track1 ,No ,23711,$276551602,$267329957,$9221645,3.3%,$9221645,$4518606,Yes,82.07,94.58,93.61,83.91,59.25,70.46,69.13,15.18,1.13,1.31,66.43,88.83,58.32,66.39,74.02,63.89,91.03,70.09,60.59,61.56,74.16,31.63,75.09,61.84,71.55,84.98,73.47,16.25,70.38,61.5,78.36,83.26,60.14,65.37,81.05
Morehouse Choice ACO-ES,Georgia,01/01/2013,Track1 ,No ,6003,$44325852,$42404961,$1920890,4.3%,$1920890,$0,No,68.7,91.46,88.34,78.69,59.04,66.42,74.08,15.13,1.55,1.71,25.68,,,,,,,,,,,,,,,,,,,,,,,,
"Mount Sinai Care, LLC",New York,07/01/2012,Track1 ,No ,25042,$353393023,$354901324,$-1508302,-0.4%,,,Yes,82.09,93.36,92.19,83.5,57.54,74.29,67.51,14.98,1.16,1.27,43.46,99.43,54.33,67.11,60.93,44.41,88.87,46.33,57.02,52.91,95.08,22.95,70.11,63.37,71.58,68.42,75.49,20.63,67.71,65.46,85.58,46.43,66.04,69.03,89
"MPS ACO Physicians, LLC",Connecticut,07/01/2012,Track1 ,Yes ,5286,$68130244,$69258840,$-1128596,-1.7%,,,Yes,84.37,93.26,91.29,86.64,57.5,73.87,73.71,14.69,1.5,1.23,21.05,100,29.11,59.35,47.06,55.42,72.86,45.41,55.48,73.85,87.17,13.4,35.24,29.78,45.41,45.16,84.38,61.04,46.59,19.91,69.03,75.68,27.87,32.75,69.7
"National ACO, LLC",California,01/01/2013,Track1 ,Yes ,5507,$111311070,$105120150,$6190919,5.6%,$6190919,$3033551,Yes,84.37,94.16,93.93,85.93,62.76,73.77,67.09,14.74,1.66,0.92,33.33,95.36,17.32,62.94,31.64,59.05,89.85,33.16,43.71,61.21,61,10.64,54.62,37.54,48.74,49.3,80.6,39.78,55.84,43.82,75,25,70.68,78.89,69.85
Nature Coast ACO LLC,Florida,01/01/2013,Track1 ,Yes ,6336,$77038333,$78417235,$-1378902,-1.8%,,,Yes,77.91,89.15,87.67,87.76,55.05,73.94,70.3,15.03,1.47,1.37,91.67,100,48.76,41.11,43.56,78.78,90.95,17.08,61.73,65.68,99.42,11.79,53.07,41.27,76.89,57.31,54.15,40.33,75,37.67,70.93,91.43,51.76,55.02,76.53
"Nevada Primary Care Network, ACO, LLC",Nevada,07/01/2012,Track1 ,No ,17441,$256707524,$235016224,$21691301,8.4%,$21691301,$0,No*,75.06,92.12,90.85,81.89,58.04,75.2,69.61,14.6,0.98,1.38,75.68,100,68.29,68.24,45.61,87.67,95.68,58.25,62.38,61.05,100,26.09,73.91,58.26,72.17,66.09,67.39,19.13,75.63,62.86,76.43,87.8,90.12,95.45,87.76
New Health Collaborative,Ohio,07/01/2012,Track1 ,No ,25150,$306829999,$295033817,$11796182,3.8%,$11796182,$5780129,Yes,82.68,93.32,92.6,85.49,55.76,76.48,73.37,14.8,1.29,1,83.59,41.05,58.77,69.28,58.91,61.3,86.21,33.13,64.55,52.09,64.64,26.65,79.95,57.86,69.25,76.77,80.23,12.98,68.18,63.76,80.47,81.13,74.22,76.88,86.43
NH Accountable Care Partners,New Hampshire,07/01/2012,Track1 ,No ,11955,$140541044,$143035665,$-2494622,-1.8%,,,Yes,86.36,95.66,93.96,84.89,66.52,76.55,73.17,14.45,1.36,1.59,91.18,96.38,63.92,72.54,81.18,47.11,98.53,63.56,76.59,67.32,45.9,33.33,71.01,65.58,75,84.42,100,8.15,73.77,65.19,97.69,75.61,74.79,82.58,74.29
"NOMS ACO, LLC",Ohio,01/01/2013,Track1 ,Yes ,8495,$85738498,$84559572,$1178926,1.4%,,,No,80.77,94.49,93.81,82.45,56.71,78.46,69.97,15.94,1.58,1.55,83.87,,,,,,,,,,,,,,,,,,,,,,,,
"North Bend Medical Center, Inc.",Oregon,07/01/2012,Track1 ,No ,9845,$109280670,$113305535,$-4024865,-3.7%,,,Yes,80.83,88.38,87.58,81.73,52.52,71.45,68.54,14.64,1,0.91,82.35,96.84,1.97,59.47,32.84,44.97,74.03,0.66,38.61,70.87,42.12,8.79,65.2,58.97,68.68,20.7,91.33,25.82,64.94,62.48,87.98,80,59.83,65.94,77.65
"North Coast Medical ACO, Inc.",California,07/01/2012,Track1 ,No ,7441,$88778603,$83246557,$5532046,6.2%,$5532046,$2710703,Yes,82.85,93.38,91.88,86.43,58.09,74.88,70.47,14.23,0.93,0.81,78.13,98.4,40.44,61.53,61.77,80.44,92.72,42.64,50.5,63.2,90.17,25.95,72.65,54.29,70.26,77.25,74.7,20.96,70.71,48.98,70.41,70,74.15,88.14,53.37
North Country ACO,"New Hampshire, Vermont",04/01/2012,Track1 ,Yes ,7322,$88298581,$86248364,$2050217,2.3%,,,Yes,81.02,93.34,92.38,86.4,67.03,77.62,71.54,14.31,1.33,1.19,,95.4,29.98,62.67,79.51,71.71,96.07,61.32,63.04,73.04,86.17,28.65,74.16,55.34,71.63,86.8,93.1,12.64,70.98,58.14,85.47,84.21,62.3,69.63,79.79
Northern Maryland Collaborative Care LLC,Maryland,01/01/2013,Track1 ,No ,15470,$200100640,$195143501,$4957139,2.5%,,,Yes,82.4,93.2,91.67,87.5,59.6,72.04,70.71,15.58,1.17,1.52,62.5,48.24,18.81,49.04,43.22,51.44,63.76,6.34,44.23,42.15,87.01,2.52,53.31,39.75,62.15,12.93,81.52,39.75,61.93,29.52,59.37,85.71,42.09,47.94,71.24
"Northwest Ohio ACO, LLC","Ohio, Michigan",01/01/2013,Track1 ,No ,11722,$118674598,$124610228,$-5935630,-5%,,,Yes,77.04,92.11,91.69,84.19,57.08,74.5,69.3,15.97,1.65,1.42,79.52,87.12,3.4,69.68,43.75,64.23,91.06,2.2,55.11,57.84,92.52,18.06,64.79,44.02,65.91,71.11,72.73,29.35,67.52,43.53,67.15,87.6,56,67.45,64.53
"Oakwood Accountable Care Organization, LLC",Michigan,07/01/2012,Track1 ,No ,17150,$259144444,$241653283,$17491161,6.7%,$17491161,$8570669,Yes,79.13,93.15,92.77,88.87,59.54,75.93,68.92,16.37,1.58,1.24,54.87,60.98,25.83,53.9,42.36,61.97,83.86,12.85,58.03,48.07,66.01,20.87,66.99,56.55,72.33,74.27,75,25.24,69.23,44.89,81.71,87.18,62.29,68.92,76.21
"Ochsner Accountable Care Network, LLC","Louisiana, Mississippi",01/01/2013,Track1 ,No ,23129,$230677773,$228706431,$1971342,0.9%,,,Yes,80.87,94.27,93.02,86.71,58.87,73.05,69.94,14.99,0.97,1.35,90.06,90.11,78.69,51.44,50.96,65.95,94.16,0,60.43,61.74,99.51,21.93,70.99,51.42,62.74,87.03,92.13,17.92,56.97,54.73,93.07,88.35,83.8,100,73.68
"OneCare Vermont Accountable Care Organization, LLC","Vermont, New Hampshire",01/01/2013,Track1 ,No ,43166,$357274467,$356941047,$333420,0.1%,,,Yes,83.81,92.54,91.84,82.21,59.46,75.98,73.7,14.75,1.25,1.22,57.55,73.81,46.3,71.36,77.73,70.94,91.37,24.71,65.33,68.04,68.66,23.08,70.91,56.49,76.92,81.01,66.26,22.12,67.04,60.92,86.65,81.78,58.95,72.35,63.54
"Optimus Healthcare Partners, LLC",New Jersey,04/01/2012,Track1 ,No ,34542,$470196322,$453169138,$17027184,3.6%,$17027184,$8343320,Yes,82.47,94.61,92.63,85.79,55.92,75.3,72.6,15.14,1.04,1.13,75.81,90.03,39.44,58.54,57.66,71.55,90.98,34.73,61.23,61.09,82.35,27.03,71.27,58.03,73.72,82.8,65.99,20.79,72.4,59.37,78.11,91.35,75.42,85.16,78.52
Orange Accountable Care,Florida,01/01/2013,Track1 ,Yes ,10600,$112554355,$120950290,$-8395935,-7.5%,,,Yes,79.26,92.67,92.09,84.35,58.3,76.85,68.91,15.39,1.54,1.23,29.41,89.34,2.61,39.28,19.84,24.18,95.77,5.97,37.75,63.07,26,12.46,58.46,42.43,50.15,75.07,70.75,34.72,57.44,44.13,73.24,22.45,69.13,76.32,71.13
Owensboro ACO,"Kentucky, Indiana",01/01/2013,Track1 ,Yes ,7532,$65732012,$63795289,$1936723,2.9%,,,Yes,84.5,94.61,93.91,85.15,54.59,75.02,68.14,14.52,1.27,0.93,77.78,91.84,30.79,65.85,58.29,66.17,91.38,11.03,65.83,79.19,77.81,26.96,76.74,63.04,65.43,74.78,75.44,14.78,61.62,57.28,84.08,82.93,65.58,81.59,65.99
"Palm Beach Accountable Care Organization, LLC",Florida,07/01/2012,Track1 ,No ,36268,$613084880,$573516046,$39568835,6.5%,$39568835,$19388729,Yes,80.46,91.36,89.58,84.53,58.37,73.46,71.6,15.56,1.04,1.18,45.76,99.5,48.23,52.2,44.42,73.44,86.5,40.39,59.71,53.25,96.7,21.73,69.16,52.8,72.43,69.86,82.16,23.36,69.09,58.95,87.77,94.59,76.24,83.45,78.9
"Paradigm ACO, LLC",Florida,01/01/2013,Track1 ,No ,6232,$63196286,$57210647,$5985639,9.5%,$5985639,$2932963,Yes,70.88,87.8,87.27,84.2,58.08,75.39,73.51,14.51,0.65,0.95,60,63.03,75.04,79.01,64.31,92.48,91.8,65.75,75.83,76.29,95.2,17.07,79.36,51.59,75.8,55.72,79.62,14.82,71.62,54.08,73.62,89.6,62.16,69.84,77.19
Partners in Care,Michigan,01/01/2013,Track1 ,No ,11270,$93039391,$93376536,$-337145,-0.4%,,,Yes,81.58,94.22,93.68,84.98,57.08,74.3,70.06,14.27,1.17,1.4,60.71,69.18,11.88,46.19,51.44,46.97,86.61,43.3,45.74,67.27,94.26,16.63,64.2,54.73,62.36,80.14,52,24.94,67.9,56.42,60.29,82.28,58.37,69.54,64.9
Physicians Accountable Care Organization LLC,New Mexico,01/01/2013,Track1 ,No ,5574,$33701375,$34719601,$-1018225,-3%,,,Yes,80.54,90.72,88.48,83.48,53.9,74.58,73.1,14.68,1.12,1.03,68.75,25,11.21,37.94,37.52,51.68,69.93,4.52,40.21,44.35,85.42,2.93,49.6,37.07,65.87,14.93,72.8,40.53,67.2,40.25,66.04,85.71,44.38,50.85,76.67
Physicians ACO,Texas,07/01/2012,Track1 ,Yes ,7802,$149496454,$137487324,$12009130,8%,$12009130,$0,No,73.92,89.63,88.85,84.97,56.31,74.76,69.95,14.01,1.08,0.97,47.37,,,,,,,,,,,,,,,,,,,,,,,,
Physicians Collaborative Trust ACO LLC,Florida,01/01/2013,Track1 ,Yes ,13479,$121613243,$121612884,$359,0%,,,Yes,77.5,90.76,88.54,81.74,56.51,72.9,71.9,14.97,1,1.8,76.47,100,0.99,13.04,5.19,1.17,0.34,1.69,6.57,19.69,8.35,0,35.19,31.71,34.72,4.4,0,63.89,34.46,30.06,0.2,0,29.91,34.81,1.85
"Physicians Collaborative Trust of the Mississippi Gulf Coast, LLC",Mississippi,04/01/2012,Track1 ,No ,6590,$80059038,$84825021,$-4765983,-6%,,,Yes,84.33,95.4,95.51,85.94,60.55,74.08,68.67,14.72,1.57,1.55,93.33,47.06,16.45,42.32,42.95,44.2,71.95,6.33,55.71,33.14,88.39,0.59,42.82,35.48,58.36,8.8,72.9,53.08,58.82,34.29,68.31,62.5,39.95,45.8,63.19
"Physicians Healthcare Collaborative, LLC",North Carolina,01/01/2013,Track1 ,No ,12571,$94290321,$93759989,$530332,0.6%,,,Yes,79.91,93.13,91.6,85.51,58.99,74.96,72.44,14.73,0.76,1.12,93.33,82.49,73.59,69.75,69.34,43.72,97.14,63.13,83.41,88.51,65.23,31.14,81.02,64.48,67.88,85.89,86.13,9.98,68.93,68.75,80.05,73.08,85.47,92.2,84.31
"Physicians of Cape Cod ACO, Inc.",Massachusetts,04/01/2012,Track2 ,No ,5800,$77975178,$79231731,$-1256553,-1.6%,,,Yes,83.98,93.48,92.07,86.23,58.4,74.62,76.06,14.64,0.47,1.38,57.14,90.6,67.6,57.86,73.3,67.56,90.93,67.99,76.61,77.13,58.17,32.77,81.51,61.76,77.31,79.41,86.67,11.34,72.41,67.25,87.46,85,69.95,75.76,78.08
"Pioneer Valley Accountable Care, LLC","Massachusetts, Connecticut",01/01/2013,Track1 ,No ,35197,$298185918,$295256882,$2929036,1%,,,Yes,81.17,93.55,92.49,85.04,62.11,74.09,70.77,14.33,1.22,1.36,53.5,38.64,51.52,63.23,78.57,56.87,93.76,37.55,68.19,76.14,68.39,33.47,74.19,62.1,77.02,85.28,81.16,15.93,71.92,54.07,92.07,76.65,79.77,90.45,77.61
POM ACO,Michigan,01/01/2013,Track1 ,No ,80734,$689377432,$684717396,$4660036,0.7%,,,Yes,80.06,92.38,91.35,86.68,59.18,76.29,71.59,14.21,0.83,1.13,74.95,91.94,40.23,62.93,61.63,71.81,90.47,46.53,72.11,74.45,94.27,32.65,79.59,63.45,76.81,72.54,80.49,11.5,71.19,61.28,88.94,87.36,64.71,75.38,70.29
"Premier ACO Physician Network, LLC",California,04/01/2012,Track1 ,No ,10870,$190372823,$187272976,$3099847,1.6%,,,Yes,80.48,91.32,89.58,85.79,54.42,70.35,67.74,15.35,1,0.94,66.67,61.33,25.49,61.04,50.41,54.04,70.85,23.56,56.23,61.9,87.53,17.31,65.01,47.15,65.93,67.59,69.85,27.44,61.82,46.62,57.77,86.79,59.03,62.86,84.05
Primary Care Alliance LLC,Florida,01/01/2013,Track1 ,No ,8969,$97768888,$96633430,$1135458,1.2%,,,Yes,77.84,90.32,88.78,81.57,56.27,74.47,71.98,13.72,1.27,1.27,29.41,99.35,50.49,65.58,50.65,89.33,86.36,56.32,67.34,73.53,90.41,29.95,71.51,59.35,65.34,79.13,78.1,19.06,66.78,50.28,85.77,78.31,76.25,80.91,75.25
Primary Partners,Florida,01/01/2013,Track1 ,Yes ,7156,$82469581,$83384631,$-915050,-1.1%,,,Yes,80.07,92.11,91.29,85.65,61.39,73.89,71,15.29,1.33,1.52,68.18,89.27,62.27,69.14,61.27,77.82,93.55,70.77,74.01,63.57,98.83,29.6,77.86,58.28,78.09,77.62,90.07,14.22,77.8,67.88,82.73,90,79.62,85.99,80.45
"Primary Partners, LLC",Florida,04/01/2012,Track1 ,Yes ,8027,$107079179,$107646159,$-566981,-0.5%,,,Yes,81.91,90.88,90.94,84.27,62.92,76.86,72.7,15.48,1.27,1.37,78.26,96.36,85.31,72.26,71.6,84.48,95.98,88.15,73.73,69.76,99.6,35.27,78.74,61.59,72.46,86.47,89.36,13.04,69.82,68.67,90.6,100,87.53,94.88,84.43
"PriMed, LLC",Connecticut,07/01/2012,Track1 ,Yes ,11266,$166567743,$162416534,$4151209,2.5%,,,Yes,82.28,94.76,93.51,87.66,61.21,74.68,71.7,15.13,1.36,1.01,94.23,13.02,18.21,48.7,62.64,56.44,81.16,0,62.07,64.78,94.73,22.45,70.69,57.7,69.94,78.11,61.33,20.04,64.85,54.05,67.75,87.88,55.76,65.64,71.61
"ProHEALTH Accountable Care Medical Group, PLLC",New York,07/01/2012,Track1 ,No ,28651,$358236161,$336322174,$21913987,6.1%,$21913987,$10737854,Yes,79.6,94.01,93.28,83.74,64.26,77.19,71.09,13.95,0.63,0.74,69.07,74.43,81.91,76.48,77.57,85.03,97.08,62.41,86.14,71.56,59.22,42.07,82.21,70.91,76.92,89.18,89.31,9.86,79.21,74.42,87.21,82.91,84,89,84.31
"ProHealth Physicians ACO, LLC ",Connecticut,01/01/2013,Track1 ,No ,32216,$311690932,$329305353,$-17614420,-5.7%,,,Yes,85.28,94.09,92.8,81.92,61.72,77.01,73.27,14.92,0.99,1.22,82.07,0,4.26,36.72,65.2,44.68,27.57,35.49,59.31,53.98,53.83,41.87,77.33,71.2,79.2,80,66.67,14.4,73.28,68.25,44.05,,65.81,74.26,63.41
"ProHealth Solutions, LLC",Wisconsin,07/01/2012,Track1 ,No ,22505,$252373244,$262146552,$-9773308,-3.9%,,,Yes,84.24,94.66,94.15,86.65,62.42,79.44,72.89,14.39,0.89,1.37,89.39,98.43,43.61,61.41,73.74,43.19,97.39,5.76,77.45,75.84,34.72,37.17,77.17,65.13,77.52,84.96,91.01,13.27,70.44,65.7,93.21,90.21,72.82,81.24,76.07
"ProMedica Physician Group, Inc.","Ohio, Michigan",07/01/2012,Track1 ,No ,18662,$190684911,$193035282,$-2350371,-1.2%,,,Yes,82.37,92.97,92.29,84.63,54.58,75.25,72.05,13.82,1.07,1.05,83.33,96.47,35.29,61.56,70.48,67.63,97.39,12.72,72.97,71.6,35.87,30.66,75.91,61.56,75.91,81.27,91.82,14.11,75.78,64.25,91.55,75.24,67.3,76.43,68.39
"Quality Independent Physicians, LLC","Kentucky, Indiana",07/01/2012,Track1 ,Yes ,13914,$207732697,$206443321,$1289376,0.6%,,,Yes,80.1,93.02,92.78,87.33,58.08,74.57,70.52,15.16,1.29,1.4,60,89.92,86.66,75,76.6,75.37,94.51,75.23,78.79,65.76,97.07,28.21,71.79,58.55,75.21,78.42,93.62,19.23,72.67,60.42,86.04,92.44,73.9,77.53,82.38
"Qualuable Medical Professionals, LLC","Virginia, Tennessee",01/01/2013,Track1 ,No ,26609,$241606351,$227913448,$13692903,5.7%,$13692903,$6709522,Yes,81.66,94.6,92.49,88.03,55.91,75.75,66.54,15.76,1.12,1.08,74.67,94.24,38.45,66.67,64.61,50.99,73.48,37.34,66.81,69.57,73.87,16.5,76.7,56.12,67.57,46.6,83.94,16.12,69.84,56.83,69.78,80.75,52.14,55.09,73.48
Reliance Health Network,Florida,07/01/2012,Track1 ,Yes ,6684,$109183183,$104220490,$4962693,4.5%,$4962693,$2431720,Yes,76.81,91.55,91.22,86.57,62.36,73.49,68.29,14.75,1.51,1.23,38.71,100,67.41,28.81,22.46,50.81,93.65,60.81,42.28,54.95,89.25,13.12,55.7,42.58,57.63,73.55,53.8,34.84,57.3,24.56,53.8,77.55,52.75,64.64,67.26
"RGV ACO Health Providers, LLC",Texas,04/01/2012,Track2 ,Yes ,7089,$140825861,$120586480,$20239381,14.4%,$20239381,$11900756,Yes,85.34,94.64,93.76,89.27,61.33,73.94,71.57,14.75,0.68,1.03,68.89,68.61,76.51,78.87,88.59,93.41,98.31,67.48,69.06,69.68,68.38,34.52,75.71,65.95,75.24,80.48,98.68,14.52,70.36,76.14,89.4,96.15,86.02,88.06,92.35
"Rio Grande Valley Health Alliance, LLC",Texas,01/01/2013,Track1 ,Yes ,5568,$72231458,$66220753,$6010705,8.3%,$6010705,$2945246,Yes,74.39,92.37,92.16,84.6,58.61,77.62,67.89,14.08,0.87,1.66,29.41,73.57,65.6,65.16,53.92,86.36,95.01,67.31,63.01,70.47,70.57,27.88,70.91,65.14,67.55,85.34,88.69,15.87,69.11,69.06,89.69,82.98,82.3,88.94,87.5
Saint Francis HealthCare Partners ACO Inc.,Connecticut,01/01/2013,Track1 ,No ,19210,$213292596,$212163354,$1129242,0.5%,,,Yes,85.16,94.37,93.07,85.16,57.48,73.45,72,15.17,1.2,1.19,54.31,81.56,27.56,53.24,42.27,65.56,89.4,10.47,68.21,64.35,91.05,25.6,75.6,58.94,75.36,68.6,77.22,17.15,69.45,57.86,78.57,88.55,66.34,79.02,66.33
"Scott & White Healthcare Walgreens Well Network, LLC",Texas,01/01/2013,Track1 ,No ,34149,$299856159,$299698024,$158134,0.1%,,,Yes,82.11,94,92.32,85.46,56.66,72.98,72.08,14.14,0.82,0.86,29.63,96.97,66.75,50.95,85.2,57.69,96.22,0,79.62,71.29,36.84,26.76,73.48,63.5,64.96,82.48,87.43,15.57,59.71,68.75,91.35,91.72,80.29,82.27,92.75
SEMAC,Michigan,07/01/2012,Track1 ,No ,17303,$271840066,$247157175,$24682891,9.1%,$24682891,$12094617,Yes,81.77,92.48,91.11,90.85,54.87,74.66,69.41,15.3,1.47,1.09,53.73,99.56,56.59,63.13,51.01,79.1,83.72,50.35,49.92,52.18,89.81,17.38,67.03,52.33,70.25,58.78,84.18,22.94,67.39,50.65,83.36,93.53,75.04,81.8,80.51
