ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,Public Contact Name,Public Contact Email,Public Contact Phone,Location 1
Frederick Integrated Healthcare Network LLC,"400 West Seventh St, Frederick, Maryland 21701",MD,http://www.fihn.org/,Jennifer Teeter,jteeter@fmh.org,(240) 566-3337,Jennifer Teeter,jteeter@fmh.org,(240) 566-3337,"400 West Seventh St
Frederick, Maryland 21701
(39.423733937000065, -77.41408008099995)"
"Genesis Accountable Care Organization, LLC","1227 E. Rusholme, Davenport, Iowa 52803","IL, IA",,Dr. William Langley,langleyw@genesishealth.com,(563) 421-2801,William Langley,langleyw@genesishealth.com,(563) 421-2801,"1227 E Rusholme
Davenport, Iowa 52803
(41.54281361100004, -90.55719082799999)"
"Genesis Accountable Physician Network, LLC","5501 LBJ Freeway, Suite 950, Dallas, Texas 75240",TX,http://www.genesisaco.com,Dr. Jim Walton,Jim.Walton@genesisdocs.org,(972) 419-0047,Jim Walton,Jim.Walton@genesisdocs.org,(972) 419-0047,"5501 LBJ Freeway
Dallas, Texas 75240
(32.926438517000065, -96.81511007099994)"
"Genesys PHO, L.L.C.","307 E. Court Street, Flint, Michigan 48502",MI,https://integratedproviders.com/integratedproviders/ACOProviders.aspx,Paul Garson,paul.garson@genesyspho.com,(810) 424-2025,Robert Reid,brace.reid@genesyspho.com,(810) 424-2016,"307 E Court Street
Flint, Michigan 48502
(43.01386497200008, -83.68504200199999)"
"Georgia Physicians for Accountable Care, LLC","610 Third Street, Macon, Georgia 31201",GA,http://gpaco.org,Stephen Barry,sbarry@gpaco.org,(478) 254-9364,Stephen Barry,sbarry@gpaco.org,(478) 254-9364,"610 Third Street
Macon, Georgia 31201
(32.832721132000074, -83.62995716999995)"
"GGC ACO, LLC","1020 Charter Dr., Suite D, Flint, Michigan 48532",MI,http://www.ggcaco.com,Samasandrapalya Kiran,drkiranmd@yahoo.com,(810) 720-1790,Toni Natchez,tnatchez@gmail.com,(810) 720-4200,"1020 Charter Dr
Flint, Michigan 48532
(43.015641790000075, -83.77016797299996)"
Golden Life Accountable Care Organization (ACO),"236 Jibboom Street, Sacramento, California 95811",CA,http://www.glifeaco.com,Silas Ting,slting@glifeaco.com,(916) 640-1800,Silas Ting,slting@glifeaco.com,(916) 640-1800,"236 Jibboom Street
Sacramento, California 95811
(38.59420625800004, -121.50483358799994)"
Good Help ACO,"1505 Marriottsville Road, Marriottsville, Maryland 21104","KY, OH, NY, SC, VA",http://www.GoodHelpACO.org,Ken Petronis,Ken_Petronis@bshsi.org,(443) 721-6389,Ken Petronis,Ken_Petronis@bshsi.org,(443) 721-6389,"1505 Marriottsville Road
Marriottsville, Maryland 21104
(39.32829411100005, -76.89913671799997)"
Greater Baltimore Health Alliance ,"6701 N. Charles Street, South Chapman Building, Suite 102, Baltimore, Maryland 21204","MD, PA",http://www.GBHA.org,Mary Ely,mely@gbmc.org,(443) 849-2435,Mary Ely,mely@gbmc.org,(443) 849-2435,"6701 N. Charles Street
Baltimore, MD 21204
(39.392822712000054, -76.62811752799996)"
Gulf Coast Health Partners,"5151 N. Ninth Avenue, Pensacola, Florida 32504","AL, MS, FL",http://www.gulfcoasthealthpartners.com,Rebecca McQueen,rebecca.mcqueen@shhpens.org,(850) 416-7024,Mike Burke,mburke@shhpens.org,(850) 416-1153,"5151 N Ninth Avenue
Pensacola, Florida 32504
(30.474696235000067, -87.21147720299996)"
Hackensack Alliance ACO,"30 Prospect Avenue, Hackensack, New Jersey 07601","NJ, NY",http://www.hackensackumc.org/our-services/medical-services/aco/about-us/,Dr. Edward Gold,egold@hackensackumc.org,(201) 666-3900,Edward Gold,egold@hackensackumc.org,(201) 666-3900,"30 Prospect Avenue
Hackensack, New Jersey 07601
(40.88432937300007, -74.05778420499996)"
"Harbor Medical Associates, PC","541 Main Street, Suite 310, South Weymouth, Massachusetts 02190",MA,http://www.harbormedical.com,Dr. Peter Grape,pgrape@harbormedical.com,(781) 952-1249,Peter Grape,pgrape@harbormedical.com,(781) 952-1249,"541 Main Street
South Weymouth, Massachusetts 02190
(42.188498183000036, -70.95561771099995)"
"Hartford Healthcare Accountable Care Organization, Inc.","200 Retreat Avenue Fl 9, Hartford, Connecticut 06102",CT,,Dr. Kent Stahl,Kent.Stahl@hhchealth.org,(860) 972-7646,Trudi McKenna,Trudi.McKenna@hhchealth.org,(860) 972-9085,"200 Retreat Avenue
Hartford, Connecticut 06102
(41.751713583000026, -72.68161053999995)"
"HCP ACO California, LLC","19191 S. Vermont Avenue, s-200, Torrance, California 90502","CA, FL",http://hcpaco.com/,Dr. Dinesh Kumar,DKumar@healthcarepartners.com,(310) 783-5523,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126,"19191 S Vermont Avenue
Torrance, California 90502
(33.85634031200004, -118.290582643)"
"Health Alliance Integrated Care, LLC ","1055 N. Curtis Rd., Boise, Idaho 83706","ID, OR",,Dr. Steve Brown,browsd@sarmc.org,(208) 367-7978,Brad Hoaglun,brad.hoaglun@sarmc.org,(208) 367-4642,"1055 N Curtis Rd
Boise, Idaho 83706
(43.61392955400004, -116.25368716499997)"
"Healthcare Partners of the North Country, llc","120 Washington St. Suite 230, Watertown, New York 13601",NY,,Brian Marcolini,bmarcolini@nchealthcarepartners.com,(315) 755-2020 ext.31,Brian Marcolini,bmarcolini@nchealthcarepartners.com,(315) 755-2020 ext.31,"120 Washington St
Watertown, New York 13601
(43.97415589500008, -75.91090771199998)"
"Healthcare Provider ACO, Inc.","501 Franklin Ave., Suite 300, Garden City, New York 11530",NY,http://www.hcpacony.com/,Michael Sparacino,msparacino@hcpipa.com,(516) 515-8831,Michael Sparacino,msparacino@hcpipa.com,(516) 515-8831,"501 Franklin Ave
Garden City, New York 11530
(40.722663201000046, -73.63288804599995)"
"Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","FL, MO, NC, RI",http://www.healthchoicecare.com,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 ext. 18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 ext.18002,"9064 NW 13 Terrace
Miami, Florida 33172
(25.785072872000057, -80.34171014299994)"
Health Collaborative of Central Ohio LLC,"6150 East Broad Street, Columbus, Ohio 43213",OH,,Dr. Daniel Wendorff,dwendorff@mchs.com,(614) 546-4262,Jason Koma,jkoma@mchs.com,(614) 546-3410,"6150 East Broad Street
Columbus, Ohio 43213
(39.980177739000055, -82.83760325499998)"
"Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",VA,http://www.hc-ipa.com/hcaco,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 ext. 201101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042,"12011 Lee Jackson Highway
Fairfax, Virginia 22033
(38.87258927900007, -77.38536602299996)"
"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122","AK, MT, WA",http://www2.providence.org/phs/Pages/MedicareACO.aspx,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538,"747 Broadway
Seattle, Washington 98122
(47.608539335000046, -122.32080571299997)"
"Health Point ACO, LLC","6948 Professional Parkway, Sarasota, Florida 34240",FL,http://www.healthpointaco.com,Neil Bedi,nbedi@mymaxdoc.com,(941) 284-7264,Holly Taylor,htaylor@mymaxdoc.com,(941) 284-7264,"6948 Professional Parkway
Sarasota, Florida 34240
(27.383893259000047, -82.42894441599998)"
Heartland,"5325 Faraon Street, St. Joseph, Missouri 64506","KS, MO",http://www.mymosaiclifecare.org/aco,Linda Bahrke,linda.bahrke@mymlc.com,(816) 271-6882,Teresa Watkins,teresa.watkins@mymlc.com,(816) 271-6638,"5325 Faraon Street
St Joseph, Missouri 64506
(39.77022853500006, -94.77055191899996)"
HHC ACO Inc,"125 Worth St, Room 527, New York, New York 10013",NY,http://www.nyc.gov/html/hhc/html/quality/QandI-LeadershipHCR-AccountableCare.shtml#1,Dr. Ross Wilson,ross.wilson@nychhc.org,(212) 788-5400,Ana Marengo,Ana.Marengo@nychhc.org,(212) 788-3386,"125 Worth St
New York, New York 10013
(40.715458623000075, -74.00269914899997)"
"HNMC Hospital/Physician ACO, LLC","718 Teaneck Road, Teaneck, New Jersey 07666",NJ,,Dr. Ravit Barkama,barkama@mail.holyname.org,(201) 541-6312,Dr. Ravit Barkama,barkama@mail.holyname.org,(201) 541-6312,"718 Teaneck Road
Teaneck, NJ 07666
(40.882178182000075, -74.00876928799994)"
"Holy Cross Physician Partners ACO, LLC","4725 North Federal Highway, Fort Lauderdale, Florida 33308",FL,http://www.holycrossphysicianpartnersaco.com,Kenneth Homer,kenneth.homer@holy-cross.com,(954) 351-5984,Shawn Franklin,shawn.franklin@holy-cross.com,(954) 776-3261,"4725 North Federal Highway
Fort Lauderdale, Florida 33308
(26.18539853300007, -80.11768406299996)"
"Huntington Care Network ACO, LLC","100 W California Blvd., Pasadena, California 91105",CA,http://www.huntingtoncarenetwork.com,Dr. Nancy Greengold,nancy.greengold@huntingtonhospital.com,(626) 397-3323,Eileen Neuwirth,eileen.neuwirth@huntingtonhospital.com,(626) 397-3241,"100 W California Blvd
Pasadena, California 91105
(34.13577326200004, -118.14846942199995)"
"Illinois Health Partners ACO, LLC","1100 West 31st Street, Suite 300, Downers Grove, Illinois 60515",IL,http://illinoishealthpartners.com/aco/,Lee McGrath,lmcgrath@illinoishealthpartners.com,(331) 221-0465,Lee McGrath,lmcgrath@illinoishealthpartners.com,(331) 221-0465,"1100 West 31st Street
Downers Grove, Illinois 60515
(41.831077648000075, -88.01380296499997)"
Illinois Rural Community Care Organization LLC,"245 Backbone Road East, Princeton, Illinois 61356-8652",IL,,Patricia Schou,pschou@icahn.org,(815) 875-2999,Curt Zimmerman,czimmerman@icahn.org,(815) 875-2999,"245 Backbone Road East
Princeton, Illinois 61356-8652
(41.39340398100006, -89.46387015699997)"
Independent Physicians' ACO of Chicago LLC ,"2740 West Foster Street, Suite 116, Chicago, Illinois 60625",IL,http://www.aco-chicago.com/,Dr. John Venetos,samv5161@aol.com,(773) 989-6262,Sophia Venetos,sophiavenetos@gmail.com,(847) 606-2928,"2740 West Foster Street
Chicago, Illinois 60625
(41.97588609300004, -87.69799486299996)"
Indiana Care Organization LLC,"10333 N Meridian St, Suite 450, Indianapolis, Indiana 46290",IN,http://www.premierhealthcare.org,Dr. Walt Beaver,walt_beaver@ahni.com,(317) 580-6368,Judith Scott,judith_scott@ahni.com,(317) 580-6414,"10333 N Meridian St
Indianapolis, Indiana 46290
(39.93717919100004, -86.15772470099995)"
Indiana Lakes ACO,"200 High Park Ave, Goshen, Indiana 46526","IN, MI",http://IndianaLakesACO.com,Dr. Larry Allen,LAllen15@iuhealth.org,(574) 364-2179,Lauren Scherer,LScherer@goshenhealth.com,(574) 606-8711,"200 High Park Ave
Goshen, Indiana 46526
(41.56430446100006, -85.82956992899994)"
"Indiana University Health ACO, Inc.","340 W. 10th St., Suite 6200, Indianapolis, Indiana 46202",IN,http://iuhealth.org/indiana-university-accountable-care-organization/,Dr. John Fitzgerald,jofitzge@iupui.edu,(317) 278-8398,Neil Pickett,npickett@iuhealth.org,(317) 963-1489,"340 W 10th St
Indianapolis, Indiana 46202
(39.781027720000054, -86.16481123399996)"
"Ingalls Care Network, LLC","71 W. 156th Street, Suite 500, Harvey, Illinois 60426","IL, IN",http://www.Ingalls.org/CareNetwork,Lynn Philipson,LPHILIPS@ingalls.org,(708) 915-6135,Susan Fine,sfine@ingalls.org,(708) 915-6127,"71 W 156th Street
Harvey, Illinois 60426
(41.606299970000066, -87.66037553699994)"
"Innovative Health Alliance of New York, LLC","1101 Nott Street, MC 1950, Schenectady, New York 12308",NY,http://www.ihany.org,Dr. Thomas Lawrence,thomas.lawrence@ihany.org,(518) 525-5214,Jennifer Susko,jennifer.susko@ihany.org,(518) 243-3466,"1101 Nott Street
Schenectady, New York 12308
(42.81970663800007, -73.91833244999998)"
"Inspira Care Connect, LLC","165 Bridgeton Pike, Mullica Hill, New Jersey 08062",NJ,,James Boote,bootej@ihn.org,(856) 641-6900,Clare Sapienza-Eck,sapienza-eckc@ihn.org,(856) 641-8620,"165 Bridgeton Pike
Mullica Hill, New Jersey 08062
(39.72171801500008, -75.21765017099995)"
Integra Community Care Network LLC,"45 Willard Ave, Providence, Rhode Island 02905","MA, RI",,Domenic Delmonico,ddelmonico@carene.org,(401) 274-1122 ext.48120,Domenic Delmonico,ddelmonico@carene.org,(401) 274-1122 ext.48120,"45 Willard Ave
Providence, Rhode Island 02905
(41.80937388400008, -71.40790315899994)"
"Integral Healthcare, LLC","14690 Spring Hill Drive, Suite 101, Spring Hill, Florida 34609",FL,,Dr. Pariksith Singh,psingh@accesshealthcarellc.net,(352) 799-0046,Juan Triana,jtriana@aurosmgmt.com,(352) 799-0046,"14690 Spring Hill Drive
Spring Hill, Florida 34609
(28.48041674800004, -82.48458558899995)"
Integrated ACO LLC,"3267 Bee Caves Road, Suite 107-511, Austin, Texas 78746",TX,http://www.integrated-aco.com,Charles Bunnell,charlie.bunnell@integrated-aco.com,(512) 782-2987,Dr. Vipul Mankad,vipmankad@gmail.com,(510) 325-8093,"3267 Bee Caves Road
Austin, Texas 78746
(30.27474768600007, -97.80099663099998)"
"Integrated Care Alliance, LLC","4343 W. Newberry Road, Suite 18 ACO, Gainesville, Florida 32607",FL,,Dr. Daniel Duncanson,dduncanson@simedhealth.com,(352) 224-2302,Connie Pegram,cpegram@simedhealth.com,(352) 224-2234,"4343 W Newberry Road
Gainesville, Florida 32607
(29.65536394600008, -82.38938060899994)"
"Integrated Medical Staff of Jackson, P.C.","828 North Parkway, Jackson, Tennessee 38305",TN,,Mark Allen,mallen@jacksonclinic.com,(731) 422-0285,Sarah Johnson,sajohnso@jacksonclinic.com,(731) 660-8347,"828 North Parkway
Jackson, Tennessee 38305
(35.65118397100008, -88.83194622399998)"
"Integrity Health Innovations, LLC","600 East Superior St., Suite 502, Duluth, Minnesota 55802","MN, WI",http://ihnhealth.com,Jeffrey Tucker,jtucker@ihnhealth.com,(218) 722-8802,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4942,"600 East Superior St
Duluth, Minnesota 55802
(46.793015163000064, -92.09023149399997)"
"Jackson Purchase Medical Associates, PSC","225 Medical Center Drive, Suite 201, Paducah, Kentucky 42003","IL, KY",http://www.jpmedicalassociates.com,Peter McNally,pmcnally@jpmpsc.com,(270) 441-4250,David Wolfrom,dwolfrom@jpmpsc.com,(270) 441-4250,"225 Medical Center Drive
Paducah, Kentucky 42003
(37.05368037000005, -88.64339476899994)"
"JFK Population Health Company, LLC","80 James Street, Edison, New Jersey 08820",NJ,http://www.jfkmc.org,Dr. William Oser,WOser@JFKHealth.org,(732) 744-5980,Dr. William Oser,WOser@JFKHealth.org,(732) 321-7000,"80 James Street
Edison, New Jersey 08820
(40.557812342000034, -74.35100963099995)"
"John C. Lincoln Accountable Care Organization, LLC","2500 West Utopia Road, Suite 100, Phoenix, Arizona 85027",AZ,http://www.jcl.com/wellness/accountable-care-organization,Nathan Anspach,Nathan.Anspach@jcl.com,(623) 434-6116,Daniel Droen,daniel.droen@jcl.com,(623) 434-6200,"2500 West Utopia Road
Phoenix, Arizona 85027
(33.66197868200004, -112.11108432599997)"
John Muir Health Medicare ACO,"1450 Treat Blvd., Suite 350, Walnut Creek, California 94597",CA,http://www.johnmuirhealth.com/about-john-muir-health/medicare-aco.html,Ute Burness,ute.burness@mmgipa.com,(925) 948-2562,Ben Drew,Ben.Drew@johnmuirhealth.com,(925) 947-5387,"1450 Treat Blvd
Walnut Creek, California 94597
(37.926382896000064, -122.05146340599998)"
"Johns Hopkins Medicine Alliance for Patients, LLC","6704 Curtis Court, Glen Burnie, Maryland 21060","DC, MD",http://www.hopkinsmedicine.org/JMAP,Dr. Scott Berkowitz,sberkow3@jhmi.edu,(443) 287-4519,Victoria Fretwell,VFretwell@jhhc.com,(410) 424-4665,"6704 Curtis Court
Glen Burnie, Maryland 21060
(39.192423733000055, -76.59467058899997)"
"Kansas Primary Care Alliance, LLC","2330 Shawnee Mission Parkway, Suite 300, Westwood, Kansas 66205","KS, MO",http://ksprimarycareaco.org/,Chris Hansen,chansen@kumc.edu,(913) 945-5466,Joy Jacobsen,jjacobsen@kumc.edu,(913) 945-5823,"2330 Shawnee Mission Parkway
Westwood, Kansas 66205
(39.033358142000054, -94.61299005599994)"
KCMPA,"5501 NW 62nd Terrace, Suite 100, Kansas City, Missouri 64152","KS, MO",http://kcmetrophysicians.com/kcmpa-aco,Jill Watson,jill.watson@kcmetrophysicians.com,(816) 456-7924,Jill Watson,jill.watson@kcmetrophysicians.com,(816) 456-7924,"5501 NW 62nd Terrace
Kansas City, Missouri 64152
(39.20825466900004, -94.64473360099998)"
"KentuckyOne Health Partners, LLC","200 Abraham Flexner Way, Louisville, Kentucky 40202",KY,,Donald Lavasz,DonaldLovasz@kentuckyonehealth.org,(502) 333-8151,Don Lovasz,donlovasz@kentuckyonehealth.org,(502) 333-8151,"200 Abraham Flexner Way
Louisville, Kentucky 40202
(38.24937194100005, -85.75149177699996)"
Keystone ACO,"100 N Academy Ave, Danville, Pennsylvania 17822","NY, PA",http://www.keystoneaco.org/,Dr. Thomas Graf,trgraf@geisinger.edu,(570) 214-4996,Lisa Miller,lkmiller@geisinger.edu,(570) 214-9492,"100 N Academy Ave
Danville, Pennsylvania 17822
(40.96584779700004, -76.60371325999995)"
"Keystone Clinical Partners, LLC","730 West Main Street, Suite 401, Louisville, Kentucky 40202",PA,,Greg Erhard,gerhard@ppcp.org,(412) 531-2902,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"730 West Main Street
Louisville, Kentucky 40202
(38.25717594900004, -85.76212478899998)"
"Lahey Clinical Performance Accountable Care Organization, LLC","41 Mall Road, Burlington, Massachusetts 01805","MA, NH",http://www.laheyhealth.org/lahey-clinical-performance-aco,Gregory Bazylewicz,gbazylew@nhs-healthlink.org,(978) 236-1757,Kevin Hoppe,Kevin.H.Hoppe@lahey.org,(978) 712-1655,"41 Mall Road
Burlington, Massachusetts 01805
(42.48676122100005, -71.20503071999997)"
"Lancaster General Health Community Care Collaborative, LLC","555 North Duke Street, PO Box 3555, Lancaster, Pennsylvania 17604-3555",PA,http://www.LancasterGeneral.org,Marion McGowan,mamcgowa@lghealth.org,(717) 544-5849,Frieda Schmidt,fschmidt2@lghealth.org,(717) 544-5044,"555 North Duke Street
Lancaster, Pennsylvania 17604-3555
(40.04716745500008, -76.30533787899998)"
"Lehigh Valley Health Network Accountable Care Organization, LLC","1200 S. Cedar Crest Blvd., Allentown, Pennsylvania 18103",PA,,Dr. Jeff Etchason,Jeff.Etchason@lvhn.org,(610) 969-2415,Dr. Jeff Etchason,Jeff.Etchason@lvhn.org,(610) 969-2415,"1200 S Cedar Crest Blvd
Allentown, Pennsylvania 18103
(40.56671957800006, -75.51862766299996)"
"LHS Health Network, LLC","1600 Haddon Avenue, Camden, New Jersey 08103","DE, NJ, PA",,Jennifer Schwartz,schwartzj@lourdesnet.org,(856) 757-3302,Nicole Bodnar,bodnarn@lourdesnet.org,(856) 580-6304,"1600 Haddon Avenue
Camden, New Jersey 08103
(39.92672441900004, -75.09523519999993)"
"LifeBridge Health ACO, LLC","2401 W. Belvedere Avenue, Baltimore, Maryland 21215-5216",MD,http://lifebridgehealthaco.org,Neil Meltzer,Nmeltzer@lifebridgehealth.org,(410) 601-5134,Prateek Bhatia,pbhatia@lifebridgehealth.org,(410) 601-4079,"2401 W Belvedere Avenue
Baltimore, Maryland 21215-5216
(39.35468575300007, -76.66225076499995)"
Live Oak Care,"2866 Johnson Ferry Road, Suite 200, Marietta, Georgia 30062","FL, GA",http://www.liveoakcare.com,Pamela Miller,pmiller@impactmed.com,(770) 518-4406 ext. 233,P Miller,liveoakcare@gmail.com,(770) 518-4371,"2866 Johnson Ferry Road
Marietta, Georgia 30062
(34.01708016900005, -84.42907036999998)"
Loudoun Medical Group ACO LLC,"224D Cornwall St NW, Ste 403, Leesburg, Virginia 20176","VA, WV",http://www.lmgdoctors.com/patient-info/loudoun-medical-group-accountable-care-organization/,Mary Beth Tamasy,mtamasy@lmgdoctors.com,(703) 737-6006,Angie Bentley,abentley@lmgdoctors.com,(703) 737-6001 ext. 6125,"224D Cornwall St NW
Leesburg, Virginia 20176
(39.11805690500006, -77.56907956099997)"
Louisiana Physicians ACO LLC,"3525 Prytania Street, Suite 526, New Orleans, Louisiana 70115",LA,http://LPACO.com,Laurie Bergeron,lbergeron@ims8.com,(504) 897-1887,Gary Albers,garyalbers@imperiumhlth.com,(502) 386-4944,"3525 Prytania Street
New Orleans, Louisiana 70115
(29.926327624000066, -90.09246865799997)"
"Lower Shore ACO, LLC","174 Waterfront Street, Suite 330, National Harbor, Maryland 20745","DE, MD, VA",http://www.lowershoreaco.com,Parag Shah,parag.shah@hpiinc.com,(301) 990-3995,Craig Behm,cbehm@medchi.org,(410) 207-7192,"174 Waterfront Street
National Harbor, Maryland 20745
(38.78382931600004, -77.01697270799997)"
"Loyola Physician Partners ACO, LLC","2160 South First Avenue, Maywood, Illinois 60153",IL,,Ajay Sial,jsial@lumc.edu,(708) 216-4252,Anne Dillon,adillon@lumc.edu,(708) 216-8232,"2160 South First Avenue
Maywood, Illinois 60153
(41.86163996600004, -87.83337831899996)"
"Maine Community Accountable Care Organization, LLC","73 Winthrop Street, Augusta, Maine 04330",ME,http://www.mainecommunityaco.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"73 Winthrop Street
Augusta, Maine 04330
(44.31558314700004, -69.77991033999996)"
MaineHealth Accountable Care Organization,"110 Free Street, Portland, Maine 04101","ME, NH",http://www.mainehealth.org/mhaco,Francis McGinty,blissj@mainehealth.org,(207) 661-7559,Katie Harris,blissj@mainehealth.org,(207) 661-7559,"110 Free Street
Portland, ME 04101
(43.654934731000026, -70.26114443299997)"
Marshfield Clinic,"1000 North Oak Avenue, Marshfield, Wisconsin 54449",WI,https://www.marshfieldclinic.org/health-system/accountable-care-organization,Dr. Kori Krueger,krueger.kori@marshfieldclinic.org,(715) 387-5535,Dr. Kori Krueger,krueger.kori@marshfieldclinic.org,(715) 387-5535,"1000 North Oak Avenue
Marshfield, Wisconsin 54449
(44.67721834000008, -90.17643889099998)"
Maryland Accountable Care Organization of Eastern Shore LLC,"174 Waterfront St, Ste 330, National Harbor, Maryland 20745","DE, MD",http://www.mdacoeast.com,Parag Shah,parag.shah@hpiinc.com,(301) 990-3995,Craig Behm,cbehm@medchi.org,(410) 207-7192,"174 Waterfront St
National Harbor, Maryland 20745
(38.78382931600004, -77.01697270799997)"
Maryland Accountable Care Organization of  Western MD LLC,"174 Waterfront St, Ste 330, National Harbor, Maryland 20745","MD, WV, PA",http://www.mdacowest.com,Parag Shah,parag.shah@hpiinc.com,(301) 990-3995,Craig Behm,cbehm@medchi.org,(410) 207-7192,"174 Waterfront St
National Harbor, Maryland 20745
(38.78382931600004, -77.01697270799997)"
"Maryland Collaborative Care, LLC.","7 St. Paul Street, Baltimore, Maryland 21202","DC, MD",http://www.mdaco.net/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"7 St Paul Street
Baltimore, Maryland 21202
(39.28963598800004, -76.61379616299996)"
"Mary Washington Health Alliance, LLC.","2300 Fall Hill Ave., Suite 401b, Fredericksburg, Virginia 22401",VA,http://www.mwhealthalliance.com,Travis Turner,travis.turner@mwhc.com,(540) 741-2248,Eric Fletcher,eric.fletcher@mwhc.com,(540) 741-0660,"2300 Fall Hill Ave
Fredericksburg, Virginia 22401
(38.31262660800007, -77.47197763299994)"
MBA - Northern California Physicians Management Group,"900 East Main St, Suite 300, Grass Valley, California 95945",CA,http://www.mbaaco.com,Keely Smith,keely.s@e-mbainc.com,(530) 271-3222,Silas Ting,SLTing@Glifeaco.com,(916) 640-1800,"900 East Main St
Grass Valley, California 95945
(39.22807878900005, -121.051845104)"
"MCM Accountable Care Organization, LLC","PO Box 69, Jupiter, Florida 33468",FL,http://www.mcmaco.org,Mazin Shikara,mshikara@mcmhealthcare.com,(561) 932-0995,Angela Wright,awright@mcmhealthcare.com,(813) 932-1970,"3889 Military Trail
Jupiter, FL 33468
(26.89803934100007, -80.10292670899997)"
"MD Valuecare, LLC","4900 Cox Rd, Suite 200, Glen Allen, Virginia 23060",VA,http://mdvaluecare.com,Michael Matthews,mmatthews@cvhn.com,(804) 359-4500 ext.4225,Lauren Steckler,lsteckler@cvhn.com,(804) 955-1773,"4900 Cox Rd
Glen Allen, Virginia 23060
(37.67118128100003, -77.56806295699994)"
Medical Mall ACO,"350 W. Woodrow Wilson Ave., Suite 499, Jackson, Mississippi 39213","AL, MS",,Timothy Mcneill,tmcneill@medicalmallhs.com,(202) 344-5465,Timothy McNeill,tmcneill@medicalmallhs.com,(202) 344-5465,"350 W Woodrow Wilson Ave
Jackson, Mississippi 39213
(32.326917811000044, -90.19577072299995)"
"Medical Practitioners For Affordable Care, LLC","3716 N. Wickham Rd, Unit 3, Melbourne, Florida 32935",FL,http://www.mpacaco.org,Dr. Gopal Gadodia,g1gadodia@gmail.com,(321) 863-9797,Dr. Dwight Jones,djones@bpnipa.org,(321) 757-7600 ext. 118,"3716 N Wickham Rd
Melbourne, Florida 32935
(28.167276402000027, -80.67207946199994)"
Medicare Value Partners,"2380 Dempster Avenue, Des Plaines, Illinois 60016",IL,http://www.presencehealth.org/patients-visitors/medicare-value-partners-aco-overview,Dr. David DiLoreto,D.DiLoreto@presencehealth.org,(312) 308-3288,Jessica Bullock,jessica.bullock@presencehealth.org,(773) 432-1240,"2380 Dempster Avenue
Des Plaines, Illinois 60016
(42.03917028700005, -87.86498382499997)"
Memorial Hermann Accountable Care Organization,"929 Gessner, Suite 2700, Houston, Texas 77024",TX,,Christopher Lloyd,christopher.lloyd@memorialhermann.org,(713) 242-2444,Mary Raby-Grover,Mary.Raby-Grover@memorialhermann.org,(713) 338-4558,"929 Gessner
Houston, Texas 77024
(29.781966301000068, -95.54422158499995)"
"Mercy ACO, LLC","207 Crocker St., Ste. #200, Des Moines, Iowa 50309",IA,http://www.mercydesmoines.org/aco,Dr. David Swieskowski,dswieskowski@mercydesmoines.org,(515) 643-7460,Derek Novak,ACO@mercydesmoines.org,(515) 643-7448,"207 Crocker St
Des Moines, Iowa 50309
(41.59341837100004, -93.62094109299994)"
"Mercy ACO, LLC","14528 South Outer Forty Road, Suite 100, Chesterfield, Missouri 63107","AR, MO",http://www.mercy.net/springfield-accountable-care-organization,Dr. James Rogers,James.Rogers@Mercy.Net,(417) 820-5600,Nikki Viner,Nikki.Viner@Mercy.net,(314) 628-3412,"14528 South Outer Forty Road
Chesterfield, Missouri 63107
(38.64444625600004, -90.52092540299998)"
Mercy-CR/UI Health Care Accountable Care Organization,"1337 John Colloton Pavilion, Iowa City, Iowa 52242",IA,http://uimercyaco.org/,Dr. Timothy Quinn,tquinn@mercycare.org,(319) 398-6100,Christine Miller,christine-a-miller@uiowa.edu,(319) 384-4503,"1337 John
Iowa City, Iowa 52242
(41.66184817900006, -91.54362727499995)"
"Mercy Health ACO, LLC","14528 South Outer Forty, Suite 100, Chesterfield, Missouri 63017","AR, MO, OK",,Dr. James Rogers,James.Rogers@Mercy.net,(417) 820-5600,Donna Smith,Donna.Smith@Mercy.net,(417) 820-5244,"14528 South Outer Forty
Chesterfield, Missouri 63017
(38.64444625600004, -90.52092540299998)"
